table_figure,column,stat,value_script
table_5,bush_bilingual,Z_ad,0.049
table_5,bush_bilingual,Z_ad_se,0.023
table_5,vela_bilingual,Z_ad,0.049
table_5,vela_bilingual,Z_ad_se,0.024
table_5,vela_monolingual,Z_ad,-0.02
table_5,vela_monolingual,Z_ad_se,0.026
table_5,coffman_bilingual,Z_ad,0.003
table_5,coffman_bilingual,Z_ad_se,0.024
table_5,coffman_monolingual,Z_ad,-0.187
table_5,coffman_monolingual,Z_ad_se,0.026
table_5,bush_bilingual,Z_survey,0.005
table_5,bush_bilingual,Z_survey_se,0.023
table_5,vela_bilingual,Z_survey,0.073
table_5,vela_bilingual,Z_survey_se,0.024
table_5,coffman_bilingual,Z_survey,-0.028
table_5,coffman_bilingual,Z_survey_se,0.024
table_5,bush_bilingual,constant,0.449
table_5,bush_bilingual,constant_se,0.02
table_5,vela_bilingual,constant,0.535
table_5,vela_bilingual,constant_se,0.021
table_5,vela_monolingual,constant,0.366
table_5,vela_monolingual,constant_se,0.019
table_5,coffman_bilingual,constant,0.384
table_5,coffman_bilingual,constant_se,0.02
table_5,coffman_monolingual,constant,0.513
table_5,coffman_monolingual,constant_se,0.019
table_5,bush_bilingual,N,1849
table_5,vela_bilingual,N,1680
table_5,vela_monolingual,N,1343
table_5,coffman_bilingual,N,1681
table_5,coffman_monolingual,N,1343
table_6,bush_bilingual,Z_ad,0.167
table_6,bush_bilingual,Z_ad_se,0.075
table_6,vela_bilingual,Z_ad,0.068
table_6,vela_bilingual,Z_ad_se,0.067
table_6,vela_monolingual,Z_ad,-0.472
table_6,vela_monolingual,Z_ad_se,0.07
table_6,coffman_bilingual,Z_ad,0.019
table_6,coffman_bilingual,Z_ad_se,0.077
table_6,coffman_monolingual,Z_ad,-0.83
table_6,coffman_monolingual,Z_ad_se,0.074
table_6,bush_bilingual,Z_survey,0.165
table_6,bush_bilingual,Z_survey_se,0.075
table_6,vela_bilingual,Z_survey,0.149
table_6,vela_bilingual,Z_survey_se,0.067
table_6,coffman_bilingual,Z_survey,0.093
table_6,coffman_bilingual,Z_survey_se,0.078
table_6,bush_bilingual,constant,4.81
table_6,bush_bilingual,constant_se,0.063
table_6,vela_bilingual,constant,4.994
table_6,vela_bilingual,constant_se,0.057
table_6,vela_monolingual,constant,4.712
table_6,vela_monolingual,constant_se,0.051
table_6,coffman_bilingual,constant,4.902
table_6,coffman_bilingual,constant_se,0.066
table_6,coffman_monolingual,constant,5.161
table_6,coffman_monolingual,constant_se,0.054
table_6,bush_bilingual,N,1862
table_6,vela_bilingual,N,1680
table_6,vela_monolingual,N,1341
table_6,coffman_bilingual,N,1680
table_6,coffman_monolingual,N,1342
table_7,bush_bilingual,Z_ad,0.037
table_7,bush_bilingual,Z_ad_se,0.02
table_7,vela_bilingual,Z_ad,0.018
table_7,vela_bilingual,Z_ad_se,0.017
table_7,vela_monolingual,Z_ad,-0.152
table_7,vela_monolingual,Z_ad_se,0.025
table_7,coffman_bilingual,Z_ad,0.035
table_7,coffman_bilingual,Z_ad_se,0.021
table_7,coffman_monolingual,Z_ad,-0.155
table_7,coffman_monolingual,Z_ad_se,0.024
table_7,bush_bilingual,Z_survey,-0.035
table_7,bush_bilingual,Z_survey_se,0.02
table_7,vela_bilingual,Z_survey,-0.024
table_7,vela_bilingual,Z_survey_se,0.017
table_7,coffman_bilingual,Z_survey,-0.045
table_7,coffman_bilingual,Z_survey_se,0.021
table_7,bush_bilingual,constant,0.734
table_7,bush_bilingual,constant_se,0.018
table_7,vela_bilingual,constant,0.865
table_7,vela_bilingual,constant_se,0.014
table_7,vela_monolingual,constant,0.78
table_7,vela_monolingual,constant_se,0.016
table_7,coffman_bilingual,constant,0.744
table_7,coffman_bilingual,constant_se,0.018
table_7,coffman_monolingual,constant,0.815
table_7,coffman_monolingual,constant_se,0.015
table_7,bush_bilingual,N,1858
table_7,vela_bilingual,N,1680
table_7,vela_monolingual,N,1336
table_7,coffman_bilingual,N,1680
table_7,coffman_monolingual,N,1337
table_8,bush_bilingual,Z_ad,0.076
table_8,bush_bilingual,Z_ad_se,0.042
table_8,vela_bilingual,Z_ad,0.103
table_8,vela_bilingual,Z_ad_se,0.038
table_8,vela_monolingual,Z_ad,-0.16
table_8,vela_monolingual,Z_ad_se,0.047
table_8,coffman_bilingual,Z_ad,0.03
table_8,coffman_bilingual,Z_ad_se,0.041
table_8,coffman_monolingual,Z_ad,-0.31
table_8,coffman_monolingual,Z_ad_se,0.044
table_8,bush_bilingual,Z_survey,-0.018
table_8,bush_bilingual,Z_survey_se,0.042
