float,published_numbers,basis,covered,reproduced_by_rewrite,reproduced_by_archive
table_1,8,no comparable number,0,0,0
table_2,47,published cells,17,17,0
table_3,16,published cells,16,16,16
table_4,9,no comparable number,0,0,0
table_5,31,published cells,31,31,31
table_6,31,published cells,31,31,31
table_7,31,published cells,31,31,31
table_8,31,published cells,31,31,31
table_9,10,published cells,10,10,10
figure_1,20,"plotted estimates, compared against the deposit",20,20,20
figure_2,32,"plotted estimates, compared against the deposit",32,32,32
figure_3,0,no comparable number,0,0,0
table_a1,27,published cells,27,27,27
table_a2,27,published cells,27,27,27
table_a3,27,published cells,27,27,27
table_a4,27,published cells,27,27,27
table_b5,40,published cells,40,40,40
table_b6,40,published cells,40,40,40
table_b7,40,published cells,40,40,40
table_b8,40,published cells,40,40,40
table_c9,41,published cells,41,41,41
table_c10,41,published cells,41,41,41
