column,quantity,mean,se,n_nonmissing
lucid,female,0.7003222341568206,0.01061947463569193,1862
lucid,age,34.80451127819549,0.3029132919855109,1862
lucid,education_5,3.0050962627406563,0.025095009909761816,1766
lucid,mexican,0.49087003222341546,0.011588424705334477,1862
lucid,cuban,0.07411385606874324,0.0060723292383585105,1862
lucid,other_hispanic,0.43501611170784094,0.011492050245306163,1862
lucid,income_7,4.109165207238764,0.05344449366631638,1713
lucid,income_9,4.489200233508464,0.05203981600486501,1713
lucid,n,1862,NA,1862
lns,female,0.5175143421478688,0.00979033307114225,4184
lns,age,33.77659770472074,0.29313188764203246,4036
lns,education_5,2.4909325348675626,0.02174249550696228,4184
lns,mexican,0.6667034414117735,0.00887352392652978,4184
lns,cuban,0.04355371063938699,0.00349430920328385,4184
lns,other_hispanic,0.28974284794883953,0.0085153052800851,4184
lns,income_7,4.055182882752413,0.04259577389303699,3478
lns,n,4184,NA,4184
pew,female,0.4620083197459075,0.02499371004176496,715
pew,age,40.10715978648748,0.8376376039642086,657
pew,education_5,2.452167125185056,0.05378435395618546,706
pew,mexican,0.5941426019999432,0.02403222489645919,715
pew,cuban,0.04661876313582085,0.0085199934533758,715
pew,other_hispanic,0.3592386348642357,0.02340316752899854,715
pew,income_9,4.08792345346712,0.11243400180934734,640
pew,n,715,NA,715
