candidate,sample,outcome,term,estimate,std.error,conf.low,conf.high,n
bush,bilingual,bush_general,(Intercept),0.44947056639429456,0.020091173678702803,0.4100667540149293,0.4888743787736598,1849
bush,bilingual,bush_general,Z_ad,0.04896649860286413,0.02322386529140922,0.003418695109612631,0.09451430209611564,1849
bush,bilingual,bush_general,Z_survey,0.005414822154981022,0.023228413472353843,-0.04014190145769582,0.05097154576765786,1849
vela,bilingual,vela_general,(Intercept),0.5348397348455044,0.02071915781857486,0.49420160176537303,0.5754778679256358,1680
vela,bilingual,vela_general,Z_vela,0.048550369173798735,0.0239042736077789,0.0016650150217152812,0.09543572332588218,1680
vela,bilingual,vela_general,Z_survey,0.07295796961285887,0.023902928973541817,0.026075252798911895,0.11984068642680584,1680
vela,monolingual,vela_general,(Intercept),0.3659259259259262,0.018553961027869728,0.32952797885827656,0.40232387299357586,1343
vela,monolingual,vela_general,Z_vela,-0.020117542692392822,0.026142251316309578,-0.07140170127238306,0.031166615887597417,1343
coffman,bilingual,coffman_general,(Intercept),0.38436045770242105,0.020125066438810516,0.34488758031376243,0.4238333350910797,1681
coffman,bilingual,coffman_general,Z_coffman,0.0027055605650262516,0.0236239175783759,-0.04362988905181114,0.04904101018186364,1681
coffman,bilingual,coffman_general,Z_survey,-0.027790406050645144,0.023606683668795835,-0.07409205344368121,0.01851124134239092,1681
coffman,monolingual,coffman_general,(Intercept),0.5126760563380292,0.018771858630398253,0.47585065200715215,0.5495014606689061,1343
coffman,monolingual,coffman_general,Z_coffman,-0.1872416171595141,0.02645251048376894,-0.23913442187913328,-0.1353488124398949,1343
