candidate,sample,outcome,term,estimate,std.error,conf.low,conf.high,n
bush,bilingual,bush_cares,(Intercept),0.7342494858433282,0.017760413005721034,0.6994169884794084,0.769081983207248,1858
bush,bilingual,bush_cares,Z_ad,0.03736599165233557,0.020448721254694442,-0.0027389332145711653,0.0774709165192423,1858
bush,bilingual,bush_cares,Z_survey,-0.034745624642466416,0.020451640963181687,-0.07485627576912582,0.005365026484192986,1858
vela,bilingual,vela_cares,(Intercept),0.8647335055744698,0.014245656029624689,0.8367923667205217,0.8926746444284179,1680
vela,bilingual,vela_cares,Z_vela,0.01760540160002676,0.016817373350690865,-0.015379851095472952,0.05059065429552648,1680
vela,bilingual,vela_cares,Z_survey,-0.02399193875553389,0.016906313575388802,-0.05715163699168252,0.00916775948061474,1680
vela,monolingual,vela_cares,(Intercept),0.7804154302670646,0.015957185773593712,0.7491115186387203,0.811719341895409,1336
vela,monolingual,vela_cares,Z_vela,-0.15201663872627613,0.02465573417346855,-0.20038487449473058,-0.10364840295782168,1336
coffman,bilingual,coffman_cares,(Intercept),0.7441704739900041,0.01812074798226348,0.7086288089057909,0.7797121390742173,1680
coffman,bilingual,coffman_cares,Z_coffman,0.03455868519331801,0.021378465179877147,-0.0073725998828511816,0.0764899702694872,1680
coffman,bilingual,coffman_cares,Z_survey,-0.04487728079630943,0.02147828440056571,-0.08700434925372494,-0.002750212338893908,1680
coffman,monolingual,coffman_cares,(Intercept),0.8149717514124275,0.01460429476136814,0.7863218849443518,0.8436216178805032,1337
coffman,monolingual,coffman_cares,Z_coffman,-0.15519432692912263,0.02388982213479516,-0.20206000755880077,-0.1083286462994445,1337
