candidate,sample,outcome,term,estimate,std.error,conf.low,conf.high,n
bush,bilingual,conf_in_bush,(Intercept),1.7684375012857565,0.03545271873773787,1.6989061548162112,1.8379688477553018,1861
bush,bilingual,conf_in_bush,Z_ad,0.0757876511855037,0.04151635727646064,-0.005635955373342841,0.15721125774435024,1861
bush,bilingual,conf_in_bush,Z_survey,-0.018477602157492345,0.04155833680317605,-0.09998354071006464,0.06302833639507995,1861
vela,bilingual,conf_in_vela,(Intercept),1.9153805329788962,0.03254047398601165,1.8515563117478302,1.9792047542099622,1680
vela,bilingual,conf_in_vela,Z_vela,0.10271177334359853,0.037865026646374256,0.028444083246727606,0.17697946344046944,1680
vela,bilingual,conf_in_vela,Z_survey,0.01075924580257995,0.03793099703221256,-0.06363783726202256,0.08515632886718245,1680
vela,monolingual,conf_in_vela,(Intercept),1.7303703703703714,0.0314127693469844,1.6687466459377343,1.7919940948030086,1338
vela,monolingual,conf_in_vela,Z_vela,-0.1602346237640353,0.04695249649205393,-0.2523432714700185,-0.06812597605805211,1338
coffman,bilingual,conf_in_coffman,(Intercept),1.8142999027372446,0.03399470468561017,1.7476233543727064,1.8809764511017828,1679
coffman,bilingual,conf_in_coffman,Z_coffman,0.030399492433661888,0.04090070614885235,-0.04982235202413392,0.11062133689145769,1679
coffman,bilingual,conf_in_coffman,Z_survey,-0.08435252944201191,0.04092225306718437,-0.1646166356036689,-0.0040884232803549275,1679
coffman,monolingual,conf_in_coffman,(Intercept),1.9661971830985934,0.02947013927066198,1.9083843961600533,2.0240099700371337,1338
coffman,monolingual,conf_in_coffman,Z_coffman,-0.31014622768458006,0.04409709738146659,-0.39665332125847197,-0.22363913411068814,1338
