table,candidate,outcome,term,estimate,std.error,conf.low,conf.high,n
a1,bush,bush_general,(Intercept),0.4434782608695652,0.023188405797101626,0.3979999861338693,0.48895653560526114,1849
a1,bush,bush_general,Z_ad,0.06065397053539406,0.03248484499629067,-0.003056951138767021,0.12436489220955513,1849
a1,bush,bush_general,Z_survey,0.01754623801684947,0.033050674009805416,-0.04727441614842007,0.08236689218211901,1849
a1,bush,bush_general,Z_ad:Z_survey,-0.023871451877948657,0.04646880699314373,-0.11500842738052366,0.06726552362462634,1849
a1,vela,vela_general,(Intercept),0.5217391304347798,0.023923013478059595,0.4748170000633828,0.5686612608061768,1680
a1,vela,vela_general,Z_vela,0.07463275165138664,0.03345720172666369,0.009010451069546357,0.14025505223322693,1680
a1,vela,vela_general,Z_survey,0.09968944099378942,0.033671628975075904,0.03364656700407119,0.16573231498350766,1680
a1,vela,vela_general,Z_vela:Z_survey,-0.054700066535454804,0.04779719153583046,-0.14844854244078964,0.03904840936988003,1680
a1,coffman,coffman_general,(Intercept),0.40439560439560335,0.023033197624772826,0.3592187608900565,0.4495724479011502,1681
a1,coffman,coffman_general,Z_coffman,-0.0388295666597552,0.0328453981273008,-0.10325185987528893,0.025592726555778537,1681
a1,coffman,coffman_general,Z_survey,-0.06947873978752843,0.0325711455488979,-0.1333631195957559,-0.005594359979300967,1681
a1,coffman,coffman_general,Z_coffman:Z_survey,0.08711480178921227,0.04723522947678066,-0.005531412808712485,0.17976101638713704,1681
a2,bush,bush_cares,(Intercept),0.7359307359307418,0.02053179576666104,0.6956628675235209,0.7761986043379626,1858
a2,bush,bush_cares,Z_ad,0.034089797950168185,0.02803453429779303,-0.020892773997791235,0.08907236989812761,1858
a2,bush,bush_cares,Z_survey,-0.03815295815295794,0.02985346479694143,-0.09670289726227012,0.02039698095635424,1858
a2,bush,bush_cares,Z_ad:Z_survey,0.0066945157753217875,0.04095362787941459,-0.0736255554443786,0.08701458699502218,1858
a2,vela,vela_cares,(Intercept),0.8672768878718491,0.016248337080415978,0.8354077175641491,0.8991460581795491,1680
a2,vela,vela_cares,Z_vela,0.012541706232455273,0.022457108463555614,-0.031505226736836714,0.056588639201747254,1680
a2,vela,vela_cares,Z_survey,-0.02918164977661488,0.024245716784765007,-0.07673672409725137,0.018373424544021605,1680
a2,vela,vela_cares,Z_vela:Z_survey,0.010619600174924283,0.033790528663608196,-0.05565648133656153,0.07689568168641009,1680
a2,coffman,coffman_cares,(Intercept),0.7362637362637334,0.02068110328000365,0.695700225098276,0.7768272474291908,1680
a2,coffman,coffman_cares,Z_coffman,0.05097030628945443,0.028716187397646007,-0.005353061587154061,0.10729367416606292,1680
a2,coffman,coffman_cares,Z_survey,-0.02842525645376021,0.03033309288702911,-0.08791999110824736,0.031069478200726936,1680
a2,coffman,coffman_cares,Z_coffman:Z_survey,-0.03439933728053375,0.04292292373153619,-0.11858751972250724,0.049788845161439735,1680
a3,bush,conf_in_bush,(Intercept),1.738095238095233,0.040613789284362,1.6584417574603907,1.8177487187300754,1861
a3,bush,conf_in_bush,Z_ad,0.1348555815768921,0.057660096210546664,0.021770163106019313,0.24794100004776487,1861
a3,bush,conf_in_bush,Z_survey,0.04287821323219504,0.05816081411383671,-0.07118923436021528,0.15694566082460537,1861
a3,bush,conf_in_bush,Z_ad:Z_survey,-0.12062206122676501,0.08305182924147889,-0.2835068200424504,0.042262697588920387,1861
a3,vela,conf_in_vela,(Intercept),1.913043478260866,0.03741312670029786,1.839662103868255,1.9864248526534771,1680
a3,vela,conf_in_vela,Z_vela,0.10736468500443863,0.05208605862080361,0.005204109148097685,0.20952526086077958,1680
a3,vela,conf_in_vela,Z_survey,0.015527950310560456,0.05352575043240777,-0.08945640888481002,0.12051230950593092,1680
a3,vela,conf_in_vela,Z_vela:Z_survey,-0.009758103104662576,0.07587306900640291,-0.1585740555289473,0.13905784931962215,1680
a3,coffman,conf_in_coffman,(Intercept),1.8480176211453776,0.03847920098819838,1.772545236949061,1.9234900053416941,1679
a3,coffman,conf_in_coffman,Z_coffman,-0.03950698284750215,0.05619968028121617,-0.14973598326762472,0.07072201757262042,1679
a3,coffman,conf_in_coffman,Z_survey,-0.1544309228080832,0.05654139383523617,-0.26533015379359604,-0.043531691822570384,1679
a3,coffman,conf_in_coffman,Z_coffman:Z_survey,0.14644521889341217,0.08187760274663917,-0.014147977765296832,0.3070384155521212,1679
a4,bush,like_bush,(Intercept),4.768398268398303,0.07206908871870198,4.627053374244659,4.909743162551947,1862
a4,bush,like_bush,Z_ad,0.24799517422468617,0.101372475490892,0.04917925920348312,0.4468110892458892,1862
a4,bush,like_bush,Z_survey,0.24930084664597968,0.107200495543704,0.039054776309433215,0.45954691698252614,1862
a4,bush,like_bush,Z_ad:Z_survey,-0.16569428926893573,0.15091700997445515,-0.46167900588001576,0.13029042734214433,1862
a4,vela,like_vela,(Intercept),4.945080091533175,0.06474451234608683,4.8180914723142045,5.072068710752145,1680
a4,vela,like_vela,Z_vela,0.1657796369736084,0.09340654340094107,-0.01742612893126469,0.34898540287848145,1680
a4,vela,like_vela,Z_survey,0.25015800370491403,0.09249827051349935,0.06873370646311017,0.4315823009467179,1680
a4,vela,like_vela,Z_vela:Z_survey,-0.20616208916708267,0.13500647820574369,-0.47096115292896507,0.05863697459479972,1680
a4,coffman,like_coffman,(Intercept),4.953846153846147,0.07558107089562956,4.805602920800818,5.102089386891476,1680
