quantity,value
study_1_recruited,2866
study_1_passed_quiz,1862
study_2_recruited,2233
study_2_passed_quiz,1681
study_3_supplied,2230
study_3_failed_quiz,1344
bush_general_min,0
bush_general_max,1
bush_general_n_values,2
like_bush_min,1
like_bush_max,7
like_bush_n_values,7
bush_cares_min,0
bush_cares_max,1
bush_cares_n_values,2
conf_in_bush_min,0
conf_in_bush_max,3
conf_in_bush_n_values,4
linked_fate_min,0
linked_fate_max,3
linked_fate_n_values,4
educ_5_n_levels,5
income_7_n_levels,7
income_9_n_levels,9
